"상품군별(1)","상품군별(2)",운영형태별(1),2024.01,2024.02,2024.03,2024.04,2024.05 p),2024.06 p)
"합계","소계",계,20234957,19064554,20429883,19811787,20857142,20068307
"합계","소계",온라인 전용몰,15605815,14754313,15497570,15234137,15884168,15477118
"합계","소계",온·오프라인 병행몰,4629142,4310242,4932314,4577650,4972974,4591189
"컴퓨터 및 주변기기","소계",계,888606,843083,832397,690369,695820,675173
"컴퓨터 및 주변기기","소계",온라인 전용몰,694235,659786,650346,555536,582146,544142
"컴퓨터 및 주변기기","소계",온·오프라인 병행몰,194370,183297,182051,134832,113675,131031
"가전·전자·통신기기","소계",계,1930539,1708754,1640963,1670238,1785453,1814073
"가전·전자·통신기기","소계",온라인 전용몰,1714289,1521554,1465238,1488767,1608567,1629116
"가전·전자·통신기기","소계",온·오프라인 병행몰,216250,187200,175725,181470,176886,184957
"가전·전자·통신기기","가전·전자",계,1266213,1197777,1202416,1269366,1391920,1433981
"가전·전자·통신기기","가전·전자",온라인 전용몰,1099948,1040087,1051934,1113739,1238852,1271065
"가전·전자·통신기기","가전·전자",온·오프라인 병행몰,166265,157690,150481,155626,153067,162916
"가전·전자·통신기기","통신기기",계,664327,510977,438547,400872,393534,380092
"가전·전자·통신기기","통신기기",온라인 전용몰,614342,481467,413303,375028,369715,358051
"가전·전자·통신기기","통신기기",온·오프라인 병행몰,49985,29510,25244,25844,23819,22041
"서적","소계",계,232776,209877,268447,191154,197812,177519
"서적","소계",온라인 전용몰,102427,95892,111069,79146,83054,73937
"서적","소계",온·오프라인 병행몰,130348,113986,157377,112008,114757,103582
"사무·문구","소계",계,174457,161167,185193,167045,155708,138797
"사무·문구","소계",온라인 전용몰,155191,143751,168653,153113,142168,127247
"사무·문구","소계",온·오프라인 병행몰,19266,17416,16540,13932,13540,11550
"의복","소계",계,1527227,1547048,1872798,1918894,1823569,1751853
"의복","소계",온라인 전용몰,934795,939583,1104989,1118737,1070295,1036698
"의복","소계",온·오프라인 병행몰,592432,607465,767808,800156,753274,715156
"신발","소계",계,253317,302259,323501,334166,357881,315708
"신발","소계",온라인 전용몰,135990,131927,167102,173044,175464,172198
"신발","소계",온·오프라인 병행몰,117327,170332,156398,161121,182417,143511
"가방","소계",계,225628,230368,242409,220091,221206,196470
"가방","소계",온라인 전용몰,125423,125270,133968,119942,118974,106612
"가방","소계",온·오프라인 병행몰,100205,105098,108441,100149,102232,89858
"패션용품 및 액세서리","소계",계,341764,323175,348152,343277,357071,333651
"패션용품 및 액세서리","소계",온라인 전용몰,180082,176254,214365,207295,207681,201855
