"통계분류(1)",통계분류(2),2021,2020,2019,2018,2017,2016
"통계분류(1)",통계분류(2),매출액,매출액,매출액,매출액,매출액,매출액
"합계",소계,18921883,17421750,18133845,17211863,16413340,15189680
"방송",소계,3479702,3337029,4010227,4026626,3782764,3621087
"방송",지상파 TV,1178334,1107011,1397384,1622842,1652246,1663189
"방송",라디오,229789,210820,286206,290880,294015,277134
"방송",케이블 TV,1920043,1871236,2132430,1975301,1704902,1603365
"방송",위성 TV,110532,36675,137776,50568,49130,22316
"방송",IPTV,38541,109206,53508,77510,73275,46721
"방송",DMB,2462,2081,2922,9525,9196,8362
"인쇄",소계,1046748,1029199,1131535,1159172,1166244,1049226
"인쇄",신문,794970,781687,853978,876866,880748,650926
"인쇄",잡지,251778,247512,277557,282306,285496,398300
"인터넷",소계,7234910,6595007,4751664,3880378,3640538,3394019
"인터넷",컴퓨터(PC),2230755,2055748,1824705,2100794,2167079,2183368
"인터넷",모바일,5004155,4539259,2926959,1779584,1473459,1210651
"광고제작",소계,1466123,1232312,1571303,2043421,2010184,1732676
"옥외 등",소계,1893869,1753993,2122346,1969981,1922717,1793322
"광고관련 서비스업,인쇄업,기타",소계,3800531,3474209,4546771,4132285,3890893,3599350
