"가구주의 성별","가구주의 연령별",2048,2049,2050
"남자","19세이하",21098,21663,22066
"남자","20~24세",105956,110083,115562
"남자","25~29세",277970,260453,248832
"남자","30~34세",582934,552008,510098
"남자","35~39세",714604,707473,704336
"남자","40~44세",738531,727157,724553
"남자","45~49세",956402,905661,842859
"남자","50~54세",1237429,1200874,1167929
"남자","55~59세",1235556,1266879,1288099
"남자","60~64세",1166351,1143604,1148140
"남자","65~69세",1411865,1392447,1328890
"남자","70~74세",1345798,1309284,1321203
"남자","75~79세",1567666,1553209,1528176
"남자","80~84세",1149271,1205300,1228487
"남자","85~89세",836973,831177,832774
"남자","90~94세",317162,344202,371838
"남자","95~99세",63552,68034,78236
"남자","100세이상",8437,9142,9899
"남자","65세이상",6700724,6712795,6699503
"여자","19세이하",28475,29355,30025
"여자","20~24세",144785,150542,157728
"여자","25~29세",259944,244732,234769
"여자","30~34세",431745,409662,379903
"여자","35~39세",496063,495453,497853
"여자","40~44세",499546,497674,500361
"여자","45~49세",612910,586643,551359
"여자","50~54세",769325,760864,755899
"여자","55~59세",788227,814346,835298
"여자","60~64세",763787,752580,758248
"여자","65~69세",898286,892046,856556
"여자","70~74세",865647,847050,860074
"여자","75~79세",973620,963266,948130
"여자","80~84세",813511,853634,866346
"여자","85~89세",685419,672530,664240
"여자","90~94세",319052,342378,366731
"여자","95~99세",79975,84724,96033
"여자","100세이상",15454,16497,17612
"여자","65세이상",4650964,4672125,4675722
